Sno,Text,Type
1,Once upon a time in a __ forest there was an explorer.,adjective
2,The explorer's name was __.,noun
3,Every morning they would __ through the trees.,verb
4,The trees were tall and __.,adjective
5,One day they found a __ cave.,adjective
6,Inside the cave was a __ treasure chest.,adjective
7,It was filled with __.,noun
8,Suddenly a __ sound echoed through the cave.,adjective
9,The explorer quickly __ out of the cave.,verb
10,Outside they met a __ animal.,adjective
11,This will bring you __ said the animal.,noun
12,From that day on they lived __ ever after.,adverb
